,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,own_goals,opta_index,fiks_id
0,100.0,100.0,121989,0,0,-3,3,0,2,0.3,0.7,0,Brice,0.7,1,False,,2024-10-18T14:53:52.071710Z,52,121989.jpg,1.2,Wembangomo,3.0,False,,a,1,8,21,144,0,1440,0,0.1,4.0,Wembangomo,,550,0,0,1,7,0,0,1,0,0,0,0,0.000000,2658914.0
1,100.0,100.0,35502,0,0,1,-1,0,2,0.3,0.3,0,Brede,0.3,2,False,,2024-09-22T13:53:30.621419Z,56,35502.jpg,2.8,Moe,2.4,False,,a,1,8,53,1704,0,1599,0,0.1,9.5,Moe,,1301,0,0,5,14,0,0,0,0,0,3,0,0.000000,2284054.0
2,100.0,100.0,76120,0,0,-1,1,0,2,0.3,0.0,0,Omar,0.0,3,False,,2024-03-19T08:52:14.922083Z,49,76120.jpg,1.0,Elabdellaoui,0.1,False,,a,1,8,1,2,0,38,0,0.0,0.2,Elabdellaoui,,45,0,0,0,1,0,0,0,0,0,0,0,0.000000,2483415.0
3,100.0,100.0,78988,0,0,-2,2,3,3,4.7,6.0,11,Ulrik,6.0,4,False,,2024-10-12T19:43:32.913916Z,88,78988.jpg,4.2,Saltnes,3.2,False,,a,1,8,113,7577,0,7047,0,0.7,12.8,Saltnes,,1907,7,5,7,23,0,0,1,0,0,12,0,0.000000,3600872.0
4,100.0,100.0,133948,0,0,10,-10,3,2,6.3,3.7,4,Fredrik André,3.7,5,True,,2024-05-05T18:11:08.178703Z,70,133948.jpg,5.2,Bjørkan,44.1,False,,a,1,8,124,22098,0,19048,0,0.5,17.7,Bjørkan,,1793,4,8,9,22,0,0,3,0,0,7,0,0.000000,2743429.0
5,100.0,100.0,114978,0,0,-3,3,0,3,0.7,0.7,1,Sondre,0.7,6,False,,2024-05-12T21:11:03.323189Z,77,114978.jpg,2.2,Sørli,0.5,False,,a,1,8,36,94,0,238,0,0.1,4.7,Sørli,,330,0,5,1,2,0,0,0,0,0,2,0,0.000000,3410903.0
6,100.0,100.0,118829,0,0,-1,1,1,3,1.7,1.0,0,Sondre,1.0,7,False,,2024-03-19T08:52:14.945688Z,59,118829.jpg,3.0,Brunstad Fet,0.4,False,,a,1,8,48,378,0,254,0,0.2,8.1,Brunstad Fet,,721,2,3,4,11,0,0,0,0,0,2,0,0.000000,3762291.0
7,100.0,100.0,95733,0,0,-2,2,0,4,0.0,0.0,0,Runar,0.0,8,False,,2024-10-27T21:28:49.721550Z,78,95733.jpg,1.0,Espejord,0.3,False,,a,1,8,1,19,0,104,0,0.0,0.1,Espejord,,8,0,0,0,0,0,0,0,0,0,0,0,0.000000,2531970.0
8,,,298343,0,0,-1,1,0,2,0.0,0.0,0,Adam,0.0,9,False,,,54,298343.jpg,2.1,Sørensen,2.4,False,,a,1,8,33,352,0,795,0,0.0,6.1,Sørensen,,798,0,1,3,9,0,0,2,0,0,0,0,0.000000,3991413.0
9,100.0,100.0,306683,0,0,3,-3,1,2,2.7,4.0,4,Fredrik,4.0,10,False,,2024-10-28T21:23:45.484567Z,53,306683.jpg,3.7,Sjøvold,8.7,False,,a,1,8,104,7699,0,3815,0,0.8,19.6,Sjøvold,,2269,1,3,10,25,0,0,0,0,0,3,0,0.000000,3589258.0
