,element,position,multiplier,is_captain,is_vice_captain,element_type,manager_id,event_id
0,325,1,1,False,False,1,5222,1
1,1,2,1,False,True,2,5222,1
2,245,3,1,False,False,2,5222,1
3,35,4,1,False,False,2,5222,1
4,340,5,1,False,False,2,5222,1
5,228,6,1,False,False,3,5222,1
6,42,7,1,False,False,3,5222,1
7,393,8,1,False,False,3,5222,1
8,233,9,1,False,False,4,5222,1
9,38,10,1,False,False,4,5222,1
10,251,11,2,True,False,4,5222,1
11,304,12,0,False,False,1,5222,1
12,408,13,0,False,False,3,5222,1
13,384,14,0,False,False,3,5222,1
14,218,15,0,False,False,2,5222,1
15,325,1,1,False,False,1,5222,2
16,1,2,1,False,False,2,5222,2
17,35,3,1,False,False,2,5222,2
18,370,4,1,False,False,2,5222,2
19,408,5,1,False,False,3,5222,2
20,228,6,1,False,False,3,5222,2
21,42,7,1,False,False,3,5222,2
22,393,8,2,True,False,3,5222,2
23,384,9,1,False,False,3,5222,2
24,233,10,1,False,False,4,5222,2
25,38,11,2,False,True,4,5222,2
26,304,12,0,False,False,1,5222,2
27,245,13,0,False,False,2,5222,2
28,251,14,0,False,False,4,5222,2
29,218,15,0,False,False,2,5222,2
30,304,1,1,False,False,1,5222,3
31,1,2,1,False,False,2,5222,3
32,245,3,1,False,True,2,5222,3
33,370,4,1,False,False,2,5222,3
34,35,5,1,False,False,2,5222,3
35,228,6,1,False,False,3,5222,3
36,256,7,2,True,False,3,5222,3
37,393,8,1,False,False,3,5222,3
38,384,9,1,False,False,3,5222,3
39,251,10,1,False,False,4,5222,3
40,38,11,1,False,False,4,5222,3
41,325,12,0,False,False,1,5222,3
42,408,13,0,False,False,3,5222,3
43,233,14,0,False,False,4,5222,3
44,218,15,0,False,False,2,5222,3
45,304,1,1,False,False,1,2816,1
46,245,2,1,False,True,2,2816,1
47,370,3,1,False,False,2,2816,1
48,55,4,1,False,False,2,2816,1
49,228,5,1,False,False,3,2816,1
50,42,6,1,False,False,3,2816,1
51,393,7,1,False,False,3,2816,1
52,383,8,1,False,False,3,2816,1
53,233,9,1,False,False,4,2816,1
54,10,10,2,True,False,4,2816,1
55,38,11,1,False,False,4,2816,1
56,325,12,0,False,False,1,2816,1
57,319,13,0,False,False,2,2816,1
58,218,14,0,False,False,2,2816,1
59,364,15,0,False,False,3,2816,1
60,325,1,1,False,False,1,2816,2
61,319,2,1,False,False,2,2816,2
62,370,3,1,False,False,2,2816,2
63,218,4,1,False,False,2,2816,2
64,228,5,1,False,False,3,2816,2
65,42,6,1,False,True,3,2816,2
66,393,7,1,True,False,3,2816,2
67,383,8,1,False,False,3,2816,2
68,10,9,2,False,False,4,2816,2
69,233,10,2,False,False,4,2816,2
70,38,11,2,False,False,4,2816,2
71,304,12,0,False,False,1,2816,2
72,55,13,0,False,False,2,2816,2
73,245,14,0,False,False,2,2816,2
74,364,15,0,False,False,3,2816,2
75,325,1,1,False,False,1,2816,3
76,319,2,1,False,False,2,2816,3
77,370,3,1,False,False,2,2816,3
78,245,4,1,False,True,2,2816,3
79,257,5,1,False,False,3,2816,3
80,258,6,2,True,False,3,2816,3
81,393,7,1,False,False,3,2816,3
82,383,8,1,False,False,3,2816,3
83,10,9,1,False,False,4,2816,3
84,233,10,1,False,False,4,2816,3
85,38,11,1,False,False,4,2816,3
86,304,12,0,False,False,1,2816,3
87,55,13,0,False,False,2,2816,3
88,218,14,0,False,False,2,2816,3
89,364,15,0,False,False,3,2816,3
90,255,1,1,False,False,1,5301,1
91,320,2,1,False,False,2,5301,1
92,35,3,1,False,False,2,5301,1
93,245,4,1,False,False,2,5301,1
94,42,5,1,False,False,3,5301,1
95,393,6,1,False,True,3,5301,1
96,383,7,1,False,False,3,5301,1
97,333,8,1,False,False,3,5301,1
98,233,9,1,False,False,4,5301,1
99,10,10,2,True,False,4,5301,1
100,38,11,1,False,False,4,5301,1
101,356,12,0,False,False,1,5301,1
102,162,13,0,False,False,2,5301,1
103,185,14,0,False,False,3,5301,1
104,218,15,0,False,False,2,5301,1
105,255,1,1,False,False,1,5301,2
106,320,2,1,False,False,2,5301,2
107,35,3,1,False,False,2,5301,2
108,218,4,1,False,False,2,5301,2
109,42,5,2,False,True,3,5301,2
110,393,6,2,True,False,3,5301,2
111,383,7,1,False,False,3,5301,2
112,333,8,1,False,False,3,5301,2
113,233,9,1,False,False,4,5301,2
114,10,10,1,False,False,4,5301,2
115,38,11,1,False,False,4,5301,2
116,356,12,0,False,False,1,5301,2
117,162,13,0,False,False,2,5301,2
118,185,14,0,False,False,3,5301,2
119,245,15,0,False,False,2,5301,2
120,255,1,1,False,False,1,5301,3
121,320,2,1,False,False,2,5301,3
122,35,3,1,False,False,2,5301,3
123,245,4,1,False,False,2,5301,3
124,162,5,1,False,False,2,5301,3
125,42,6,1,False,False,3,5301,3
126,393,7,1,False,False,3,5301,3
127,383,8,1,False,False,3,5301,3
128,333,9,1,False,False,3,5301,3
129,10,10,2,True,False,4,5301,3
130,38,11,1,False,True,4,5301,3
131,356,12,0,False,False,1,5301,3
132,233,13,0,False,False,4,5301,3
133,218,14,0,False,False,2,5301,3
134,185,15,0,False,False,3,5301,3
135,325,1,1,False,False,1,3390,1
136,245,2,1,False,False,2,3390,1
137,340,3,1,False,False,2,3390,1
138,35,4,1,False,False,2,3390,1
139,228,5,1,False,False,3,3390,1
140,383,6,1,False,False,3,3390,1
141,393,7,1,False,True,3,3390,1
142,42,8,1,False,False,3,3390,1
143,233,9,1,False,False,4,3390,1
144,38,10,1,False,False,4,3390,1
145,10,11,2,True,False,4,3390,1
146,304,12,0,False,False,1,3390,1
147,360,13,0,False,False,3,3390,1
148,370,14,0,False,False,2,3390,1
149,164,15,0,False,False,2,3390,1
150,325,1,1,False,False,1,3390,2
151,245,2,1,False,False,2,3390,2
152,370,3,1,False,False,2,3390,2
153,35,4,1,False,False,2,3390,2
154,228,5,1,False,False,3,3390,2
155,383,6,1,False,False,3,3390,2
156,393,7,2,True,False,3,3390,2
157,42,8,2,False,True,3,3390,2
158,233,9,1,False,False,4,3390,2
159,38,10,1,False,False,4,3390,2
160,10,11,1,False,False,4,3390,2
161,304,12,0,False,False,1,3390,2
162,360,13,0,False,False,3,3390,2
163,340,14,0,False,False,2,3390,2
164,164,15,0,False,False,2,3390,2
165,304,1,1,False,False,1,3390,3
166,245,2,1,False,False,2,3390,3
167,340,3,1,False,False,2,3390,3
168,92,4,1,False,False,2,3390,3
169,360,5,1,False,False,3,3390,3
170,383,6,1,False,False,3,3390,3
171,393,7,1,False,False,3,3390,3
172,42,8,1,False,True,3,3390,3
173,233,9,1,False,False,4,3390,3
174,38,10,1,False,False,4,3390,3
175,10,11,2,True,False,4,3390,3
176,325,12,0,False,False,1,3390,3
177,370,13,0,False,False,2,3390,3
178,228,14,0,False,False,3,3390,3
179,164,15,0,False,False,2,3390,3
180,354,1,1,False,False,1,2028,1
181,245,2,2,True,False,2,2028,1
182,35,3,1,False,False,2,2028,1
183,6,4,1,False,False,2,2028,1
184,42,5,1,False,False,3,2028,1
185,393,6,1,False,True,3,2028,1
186,159,7,1,False,False,3,2028,1
187,17,8,1,False,False,3,2028,1
188,383,9,1,False,False,3,2028,1
189,251,10,1,False,False,4,2028,1
190,38,11,1,False,False,4,2028,1
191,325,12,0,False,False,1,2028,1
192,218,13,0,False,False,2,2028,1
193,201,14,0,False,False,4,2028,1
194,320,15,0,False,False,2,2028,1
195,325,1,1,False,False,1,2028,2
196,245,2,1,False,False,2,2028,2
197,35,3,1,False,False,2,2028,2
198,6,4,1,False,False,2,2028,2
199,320,5,1,False,False,2,2028,2
200,218,6,1,False,False,2,2028,2
201,42,7,1,False,True,3,2028,2
202,393,8,2,True,False,3,2028,2
