,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,own_goals,opta_index,value,transfers_balance,selected,transfers_in,transfers_out
0,384,3,16,2,False,2025-03-30T12:30:00Z,3,1,1,False,86,0,0,0,3,0,0,0,0,0,0,0,0.000000,50,0,3944,0,0
1,384,16,7,2,True,2025-04-06T17:15:00Z,3,1,2,False,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,50,14,4046,131,117
2,384,18,8,13,True,2025-04-10T17:00:00Z,3,1,2,False,90,1,1,0,1,0,0,0,0,0,3,0,0.000000,50,14,4046,131,117
3,1,8,3,6,False,2025-03-30T17:15:00Z,0,1,1,False,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,70,0,22266,0,0
4,1,11,5,6,True,2025-04-05T14:00:00Z,3,0,2,False,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,70,-22,23165,161,183
5,256,1,13,2,False,2025-03-29T15:00:00Z,1,2,1,False,73,0,0,1,0,0,0,1,0,0,0,0,0.000000,90,0,5813,0,0
6,256,9,4,7,True,2025-04-05T16:00:00Z,1,0,2,False,90,0,1,1,0,0,0,0,0,0,1,0,0.000000,90,-227,5814,73,300
7,6,8,3,6,False,2025-03-30T17:15:00Z,0,1,1,False,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,60,0,6373,0,0
8,6,11,5,6,True,2025-04-05T14:00:00Z,3,0,2,False,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,60,-39,6477,47,86
9,383,3,16,5,False,2025-03-30T12:30:00Z,3,1,1,False,73,0,1,0,2,0,0,0,0,0,0,0,0.000000,65,0,8723,0,0
10,383,16,7,1,True,2025-04-06T17:15:00Z,3,1,2,False,76,0,0,0,1,0,0,1,0,0,0,0,0.000000,65,589,9634,662,73
11,383,18,8,2,True,2025-04-10T17:00:00Z,3,1,2,False,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,65,589,9634,662,73
12,393,3,16,1,False,2025-03-30T12:30:00Z,3,1,1,False,90,0,0,0,3,0,0,1,0,0,0,0,0.000000,115,0,29142,0,0
13,393,16,7,10,True,2025-04-06T17:15:00Z,3,1,2,False,90,1,0,0,1,0,0,0,0,0,3,0,0.000000,115,170,30168,370,200
14,393,18,8,2,True,2025-04-10T17:00:00Z,3,1,2,False,68,0,0,0,1,0,0,0,0,0,0,0,0.000000,115,170,30168,370,200
15,10,8,3,9,False,2025-03-30T17:15:00Z,0,1,1,False,75,1,0,1,0,0,0,0,0,0,3,0,0.000000,105,0,29042,0,0
16,10,11,5,11,True,2025-04-05T14:00:00Z,3,0,2,False,79,1,1,1,0,0,0,0,0,0,2,0,0.000000,105,269,30772,512,243
17,13,8,3,6,False,2025-03-30T17:15:00Z,0,1,1,False,90,0,0,1,0,0,0,0,0,2,0,0,0.000000,55,0,11894,0,0
18,13,11,5,6,True,2025-04-05T14:00:00Z,3,0,2,False,90,0,0,1,0,0,0,0,0,2,0,0,0.000000,55,-114,12225,73,187
19,17,8,3,4,False,2025-03-30T17:15:00Z,0,1,1,False,90,0,0,1,0,0,0,0,0,0,1,0,0.000000,70,0,19440,0,0
20,17,11,5,3,True,2025-04-05T14:00:00Z,3,0,2,False,90,0,0,1,0,0,0,0,0,0,0,0,0.000000,70,-525,19631,90,615
21,146,4,8,5,True,2025-03-30T15:00:00Z,2,1,1,False,83,0,1,0,1,0,0,0,0,0,0,0,0.000000,50,0,437,0,0
22,146,11,1,2,False,2025-04-05T14:00:00Z,3,0,2,False,64,0,0,0,2,0,0,0,0,0,0,0,0.000000,50,115,589,137,22
23,277,5,7,0,False,2025-03-30T15:00:00Z,3,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,40,0,8373,0,0
24,277,14,9,0,True,2025-04-06T15:00:00Z,3,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,40,-201,8220,2,203
25,22,8,3,1,False,2025-03-30T17:15:00Z,0,1,1,False,67,0,0,1,0,0,1,0,0,0,0,0,0.000000,105,0,6150,0,0
26,22,11,5,1,True,2025-04-05T14:00:00Z,3,0,2,False,45,0,0,0,0,0,0,0,0,0,0,0,0.000000,105,-341,6084,41,382
27,279,5,7,2,False,2025-03-30T15:00:00Z,3,1,1,False,71,0,0,0,2,0,0,0,0,0,0,0,0.000000,65,0,1440,0,0
28,279,14,9,3,True,2025-04-06T15:00:00Z,3,0,2,False,75,0,0,1,0,0,0,0,0,0,0,0,0.000000,65,-81,1378,3,84
29,408,3,15,15,True,2025-03-30T12:30:00Z,3,1,1,False,90,2,0,0,1,0,0,0,0,0,3,0,0.000000,65,0,2919,0,0
30,408,15,12,5,False,2025-04-06T15:00:00Z,1,1,2,False,90,0,1,0,1,0,0,0,0,0,0,0,0.000000,65,2554,6419,2589,35
