,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,own_goals,opta_index,fiks_id
0,True,True,100.0,100.0,133948,0,0,0,0,1,2,3.7,7.4,4,Fredrik André,3.7,1,False,,2025-06-01T21:40:58.749076Z,70,133948.jpg,4.2,False,Bjørkan,39.5,False,,a,1,8,63,5619,49,9012,69,0.5,9.0,Bjørkan,,,,False,p133948,1260,0,3,8,13,0,0,1,0,0,0,0,0.000000,2743429.0
1,True,True,100.0,100.0,133461,0,0,0,0,1,2,4.7,9.4,9,Odin,4.7,2,False,,2025-07-11T08:16:27.742757Z,55,133461.jpg,4.5,False,Lurås Bjørtuft,3.5,False,,a,1,8,59,1104,68,1262,5,0.9,10.7,Bjørtuft,,,,False,p133461,913,3,0,5,10,0,0,1,1,0,7,0,0.000000,3334055.0
2,True,True,0.0,0.0,94765,0,0,0,0,1,2,0.0,0.0,0,Jostein,2.3,3,False,Lår - Ute på ubestemt tid,2025-07-19T20:06:16.947031Z,60,94765.jpg,3.9,False,Gundersen,8.0,False,,i,1,8,47,1043,0,2482,99,0.4,7.8,Gundersen,,,,False,p94765,880,1,0,6,11,0,0,0,1,0,3,0,0.000000,3041913.0
3,True,True,0.0,0.0,35502,0,0,-1,1,0,2,0.0,0.0,0,Brede,0.0,4,False,Rygg - Ute på ubestemt tid,2025-05-24T15:48:34.398355Z,49,35502.jpg,1.0,False,Moe,0.3,False,,i,1,8,2,15,0,113,0,0.0,0.4,Moe,,,,False,p35502,104,0,0,0,3,0,0,0,0,0,0,0,0.000000,2284054.0
4,True,True,,,645404,0,0,-2,2,0,2,0.1,0.2,0,Villads Schmidt,0.1,5,False,,,53,645404.jpg,2.2,False,Nielsen,1.4,False,,a,1,8,9,5,0,289,1,0.0,1.7,Nielsen,,,,False,p645404,142,0,0,1,0,0,0,0,0,0,0,0,0.000000,4066761.0
5,True,True,100.0,100.0,306683,0,0,2,-2,1,2,2.9,5.8,4,Fredrik,2.9,6,False,,2025-06-28T11:10:22.846307Z,62,306683.jpg,4.4,False,Sjøvold,21.2,False,,a,1,8,66,6797,68,2902,65,0.5,10.6,Sjøvold,,,,False,p306683,1333,1,2,8,14,0,0,1,0,0,1,1,0.000000,3589258.0
6,True,False,0.0,0.0,121989,0,0,0,0,0,2,0.0,0.0,0,Brice,0.0,7,False,Solgt til Häcken,2025-03-19T12:38:39.041473Z,55,121989.jpg,0.0,False,Wembangomo,0.3,False,,u,1,8,0,0,0,95,0,0.0,0.0,Wembangomo,,,,False,p121989,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,2658914.0
7,True,True,100.0,100.0,755533,0,0,-2,2,0,4,0.1,0.2,0,Mikkel,0.1,8,False,,2025-05-16T09:38:17.503944Z,58,755533.jpg,1.0,False,Bro Hansen,0.2,False,,a,1,8,2,14,0,85,1,0.0,0.3,Bro,,,,False,p755533,17,0,0,0,0,0,0,0,0,0,0,0,0.000000,4097566.0
8,True,True,100.0,100.0,112533,0,0,-1,1,0,4,0.6,1.2,0,Andreas,0.6,9,False,,2025-05-11T21:52:31.735272Z,74,112533.jpg,1.5,False,Helmersen,0.4,False,,a,1,8,17,102,0,166,0,0.1,2.3,Helmersen,,,,False,p112533,214,1,0,2,3,0,0,0,0,0,0,0,0.000000,3118125.0
9,True,True,,,337039,0,0,4,-4,3,4,4.4,8.8,6,Kasper,4.4,10,True,,,109,337039.jpg,6.4,False,Høgh,73.6,False,,a,1,8,96,16327,64,10306,36,0.4,8.8,Høgh,,,,False,p337039,1077,11,3,8,9,0,0,0,0,0,15,0,0.000000,3990339.0
10,True,True,,,376766,0,0,-2,2,0,1,0.0,0.0,0,Magnus,0.0,11,False,,,38,376766.jpg,0.0,False,Brøndbo,0.1,False,,a,1,8,0,49,6,46,0,0.0,0.0,Brøndbo,,,,False,p376766,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3413100.0
11,True,True,100.0,100.0,127232,0,0,-1,1,0,1,0.0,0.0,0,Julian,0.0,12,False,,2025-05-11T21:52:31.718568Z,44,127232.jpg,0.0,False,Faye Lund,0.1,False,,a,1,8,0,4,0,25,0,0.0,0.0,Faye,,,,False,p127232,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,2762688.0
12,True,True,,,132601,0,0,-1,1,1,1,2.9,5.8,1,Nikita,2.9,13,False,,,54,132601.jpg,4.3,False,Haikin,21.7,False,,a,1,8,65,1111,47,2767,28,0.5,12.0,Haikin,,,,False,p132601,1350,0,0,8,15,0,0,1,0,38,1,0,0.000000,3740550.0
13,True,True,,,508796,0,0,-1,1,0,1,0.0,0.0,0,Isak,0.0,14,False,,,39,508796.jpg,0.0,False,Sjong,0.2,False,,a,1,8,0,9,0,23,0,0.0,0.0,Sjong,,,,False,p508796,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,3645505.0
14,True,True,100.0,100.0,385858,0,0,-1,1,1,3,2.9,5.8,1,Sondre,2.9,15,False,,2025-04-05T08:06:05.645428Z,59,385858.jpg,2.7,False,Auklend,0.4,False,,a,1,8,27,154,5,57,9,0.5,4.6,Auklend,,,,False,p385858,434,0,3,2,5,0,0,0,0,0,3,0,0.000000,3100822.0
15,True,True,100.0,100.0,372712,0,0,0,0,0,3,0.3,0.6,1,Daniel,0.3,16,False,,2025-05-23T10:18:50.637874Z,55,372712.jpg,1.0,False,Bassi,0.0,False,,a,1,8,2,2,0,7,0,0.1,0.4,Bassi,,,,False,p372712,39,0,0,0,0,0,0,0,0,0,0,0,0.000000,2686541.0
16,True,True,100.0,100.0,115003,0,0,-1,1,1,3,3.4,6.8,12,Patrick,3.4,17,False,,2025-07-05T19:15:05.843885Z,69,115003.jpg,5.2,False,Berg,25.1,False,,a,1,8,67,2092,187,9819,44,0.5,9.7,Berg,,,,False,p115003,1018,2,8,6,11,0,0,1,0,0,5,0,0.000000,2668401.0
17,True,True,0.0,50.0,249996,-1,1,4,-4,2,3,0.0,2.3,0,Ole Didrik,2.3,18,False,Lår - Ute på ubestemt tid,2025-07-24T12:41:22.685282Z,89,249996.jpg,6.0,False,Blomberg,8.8,False,,i,1,8,72,8358,3,5401,830,0.3,8.1,Blomberg,,,,False,p249996,887,5,3,7,6,0,0,1,0,0,9,0,0.000000,3632361.0
