,entry,element_in,element_out,event
0,1716,258,68,4
1,1716,258,68,5
2,1716,361,29,7
3,1716,43,4,18
4,1716,269,43,21
5,7275,233,68,4
6,7275,103,255,5
7,7275,276,68,5
8,7275,264,43,6
9,7275,264,68,12
10,7275,180,269,12
11,7275,5,133,17
12,7275,133,477,18
13,7275,111,266,20
14,7275,372,27,21
15,7275,111,276,21
16,7275,269,25,24
17,7911,258,68,4
18,7911,258,68,5
19,7911,258,68,12
20,7911,258,269,13
21,7911,9,396,14
22,7911,379,276,15
23,7911,218,43,21
24,7911,485,229,23
25,1143,118,68,4
26,1143,118,68,5
27,1143,264,68,6
28,1143,239,15,15
29,1143,329,215,16
30,1143,183,133,17
31,1143,133,477,18
32,1143,183,43,21
33,1143,117,215,21
34,1143,25,276,21
35,1143,372,25,24
36,1143,499,280,26
37,1143,361,25,26
38,10422,258,68,4
39,10422,258,68,5
40,10422,258,43,6
41,10422,293,46,12
42,10422,426,25,13
43,10422,258,266,15
44,10422,113,43,21
45,10422,518,215,27
46,7805,92,68,4
47,7805,342,68,12
48,7805,26,68,13
49,7805,309,68,14
50,7805,342,276,15
51,7805,52,266,15
52,7805,209,43,21
53,8138,258,68,4
54,8138,258,68,5
55,8138,283,68,6
56,8138,33,276,10
57,8138,56,68,12
58,8138,56,68,13
59,8138,33,224,13
60,8138,258,264,15
61,8138,361,43,21
62,8138,342,27,21
63,8138,43,266,24
64,7925,239,211,1
65,7925,57,217,1
66,7925,239,211,2
67,7925,57,68,4
68,7925,239,227,4
69,7925,57,68,5
70,7925,57,68,6
71,7925,239,85,6
72,7925,57,5,7
73,7925,342,266,9
74,7925,85,276,10
75,7925,342,194,10
76,7925,342,68,12
77,7925,342,68,13
78,7925,33,239,13
79,7925,43,194,13
80,7925,342,68,14
81,7925,43,396,14
82,7925,342,276,15
83,7925,43,15,15
84,7925,342,68,16
85,7925,43,57,16
86,7925,33,15,16
87,7925,342,57,17
88,7925,33,15,17
89,7925,43,239,17
90,7925,342,68,18
91,7925,43,57,18
92,7925,33,15,18
93,7925,342,57,19
94,7925,43,10,19
95,7925,33,15,19
96,7925,342,239,20
97,7925,342,43,21
98,7925,133,276,21
99,7925,68,239,21
100,7925,33,396,23
101,7925,68,17,24
102,7925,33,266,24
103,7925,342,10,27
104,7925,342,361,28
