,element,position,multiplier,is_captain,is_vice_captain,manager_id,event_id
0,88,1,1,False,True,1716,1
1,220,2,1,False,False,1716,1
2,87,3,1,False,False,1716,1
3,68,4,1,False,False,1716,1
4,28,5,1,False,False,1716,1
5,189,6,1,False,False,1716,1
6,276,7,1,False,False,1716,1
7,77,8,1,False,False,1716,1
8,85,9,1,False,False,1716,1
9,227,10,2,True,False,1716,1
10,55,11,1,False,False,1716,1
11,146,12,0,False,False,1716,1
12,258,13,0,False,False,1716,1
13,152,14,0,False,False,1716,1
14,358,15,0,False,False,1716,1
15,88,1,1,False,True,1716,2
16,220,2,1,False,False,1716,2
17,258,3,1,False,False,1716,2
18,68,4,1,False,False,1716,2
19,28,5,1,False,False,1716,2
20,209,6,1,False,False,1716,2
21,276,7,1,False,False,1716,2
22,77,8,1,False,False,1716,2
23,85,9,1,False,False,1716,2
24,194,10,1,False,False,1716,2
25,55,11,2,True,False,1716,2
26,146,12,0,False,False,1716,2
27,152,13,0,False,False,1716,2
28,87,14,0,False,False,1716,2
29,358,15,0,False,False,1716,2
30,88,1,1,False,False,1716,3
31,220,2,1,False,False,1716,3
32,258,3,1,False,False,1716,3
33,68,4,1,False,False,1716,3
34,87,5,1,False,False,1716,3
35,215,6,2,True,False,1716,3
36,209,7,1,False,True,1716,3
37,77,8,1,False,False,1716,3
38,85,9,1,False,False,1716,3
39,194,10,1,False,False,1716,3
40,55,11,1,False,False,1716,3
41,146,12,0,False,False,1716,3
42,276,13,0,False,False,1716,3
43,152,14,0,False,False,1716,3
44,358,15,0,False,False,1716,3
45,88,1,1,False,False,1716,4
46,361,2,1,False,False,1716,4
47,5,3,1,False,False,1716,4
48,29,4,1,False,False,1716,4
49,258,5,1,False,False,1716,4
50,396,6,2,True,False,1716,4
51,345,7,1,False,False,1716,4
52,209,8,1,False,True,1716,4
53,406,9,1,False,False,1716,4
54,55,10,1,False,False,1716,4
55,194,11,1,False,False,1716,4
56,146,12,0,False,False,1716,4
57,319,13,0,False,False,1716,4
58,68,14,0,False,False,1716,4
59,271,15,0,False,False,1716,4
60,88,1,1,False,False,1716,5
61,361,2,1,False,False,1716,5
62,5,3,1,False,False,1716,5
63,29,4,1,False,False,1716,5
64,258,5,1,False,False,1716,5
65,396,6,1,False,False,1716,5
66,345,7,1,False,False,1716,5
67,209,8,1,False,False,1716,5
68,406,9,1,False,True,1716,5
69,55,10,1,False,False,1716,5
70,194,11,2,True,False,1716,5
71,146,12,0,False,False,1716,5
72,68,13,0,False,False,1716,5
73,319,14,0,False,False,1716,5
74,271,15,0,False,False,1716,5
75,88,1,1,False,False,1716,6
76,29,2,1,False,False,1716,6
77,342,3,1,False,False,1716,6
78,5,4,1,False,False,1716,6
79,13,5,1,False,False,1716,6
80,396,6,2,True,False,1716,6
81,209,7,1,False,False,1716,6
82,345,8,1,False,False,1716,6
83,406,9,1,False,False,1716,6
84,194,10,1,False,True,1716,6
85,227,11,1,False,False,1716,6
86,146,12,0,False,False,1716,6
87,361,13,0,False,False,1716,6
88,258,14,0,False,False,1716,6
89,319,15,0,False,False,1716,6
90,88,1,1,False,False,1716,7
91,211,2,1,False,False,1716,7
92,361,3,1,False,False,1716,7
93,342,4,1,False,False,1716,7
94,13,5,1,False,False,1716,7
95,396,6,1,False,False,1716,7
96,345,7,1,False,False,1716,7
97,209,8,1,False,False,1716,7
98,406,9,1,False,False,1716,7
99,227,10,2,True,False,1716,7
100,194,11,1,False,True,1716,7
101,146,12,0,False,False,1716,7
102,29,13,0,False,False,1716,7
103,258,14,0,False,False,1716,7
104,319,15,0,False,False,1716,7
105,88,1,1,False,False,1716,8
106,342,2,1,False,False,1716,8
107,361,3,1,False,False,1716,8
108,26,4,1,False,False,1716,8
109,345,5,1,False,False,1716,8
110,13,6,2,True,False,1716,8
111,396,7,1,False,False,1716,8
112,209,8,1,False,False,1716,8
113,406,9,1,False,False,1716,8
114,25,10,1,False,True,1716,8
115,227,11,1,False,False,1716,8
116,146,12,0,False,False,1716,8
117,258,13,0,False,False,1716,8
118,29,14,0,False,False,1716,8
119,319,15,0,False,False,1716,8
120,88,1,1,False,False,1716,9
121,342,2,1,False,False,1716,9
122,361,3,1,False,False,1716,9
123,26,4,1,False,False,1716,9
124,29,5,1,False,False,1716,9
125,33,6,1,False,False,1716,9
126,13,7,1,False,True,1716,9
127,396,8,1,False,False,1716,9
128,406,9,1,False,False,1716,9
129,25,10,1,False,False,1716,9
130,227,11,2,True,False,1716,9
131,146,12,0,False,False,1716,9
132,209,13,0,False,False,1716,9
133,319,14,0,False,False,1716,9
134,258,15,0,False,False,1716,9
135,46,1,1,False,False,1716,10
136,57,2,1,False,False,1716,10
137,372,3,1,False,False,1716,10
138,43,4,1,False,False,1716,10
139,26,5,1,False,False,1716,10
140,52,6,1,False,False,1716,10
141,378,7,1,False,False,1716,10
142,28,8,1,False,False,1716,10
143,62,9,1,False,False,1716,10
144,15,10,2,True,False,1716,10
145,55,11,1,False,True,1716,10
146,157,12,0,False,False,1716,10
147,161,13,0,False,False,1716,10
148,290,14,0,False,False,1716,10
149,361,15,0,False,False,1716,10
