,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,own_goals,opta_index,value,transfers_balance,selected,transfers_in,transfers_out
0,88,8,6,7,False,2024-04-02T17:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,8,3,0,0.000000,45,0,5149,0,0
1,88,11,9,3,True,2024-04-07T15:00:00Z,0,1,2,90,0,0,0,1,0,0,0,0,5,0,0,0.000000,45,10,5402,107,97
2,88,20,11,2,False,2024-04-14T15:00:00Z,1,0,3,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,45,76,5600,119,43
3,88,24,2,2,False,2024-04-17T16:00:00Z,1,0,3,90,0,0,0,1,0,0,0,0,2,0,0,0.000000,45,76,5600,119,43
4,88,26,14,2,True,2024-04-21T12:30:00Z,0,1,4,90,0,0,0,1,0,0,0,0,2,0,0,0.000000,45,-816,4728,68,884
5,88,37,8,2,False,2024-04-28T15:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,1,0,0,0.000000,45,-399,4335,26,425
6,88,45,7,2,False,2024-05-05T15:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,1,0,0,0.000000,45,-463,3877,31,494
7,88,52,5,2,True,2024-05-12T15:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,3,0,0,0.000000,45,-236,3647,11,247
8,88,64,13,2,False,2024-05-16T16:00:00Z,1,7,8,90,0,0,0,1,0,0,0,0,0,0,0,0.000000,45,-250,3398,2,252
9,88,66,1,8,True,2024-05-20T15:00:00Z,1,0,9,90,0,0,1,0,0,0,0,0,3,1,0,0.000000,45,-194,3212,6,200
10,88,80,16,2,False,2024-05-26T15:00:00Z,3,0,10,90,0,0,0,3,0,0,0,0,3,0,0,0.000000,45,-75,2945,29,104
11,88,85,2,7,True,2024-06-01T16:00:00Z,1,2,11,90,0,0,0,2,1,0,0,0,3,0,0,0.000000,45,-52,3097,9,61
12,88,93,12,4,False,2024-06-27T17:00:00Z,1,2,12,90,0,0,0,1,0,0,0,0,3,1,0,0.000000,44,78,3190,146,68
13,88,102,15,6,True,2024-07-07T15:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,2,0,0,0.000000,44,21,3226,63,42
14,88,112,10,3,False,2024-07-13T15:00:00Z,1,2,14,90,0,0,0,1,0,0,0,0,3,0,0,0.000000,44,74,3312,98,24
15,88,120,3,3,True,2024-07-21T15:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,3,0,0,0.000000,44,138,3504,210,72
16,88,134,16,2,True,2024-08-04T15:00:00Z,3,3,17,90,0,0,0,3,0,0,0,0,4,0,0,0.000000,44,7,3473,54,47
17,88,139,5,11,False,2024-08-10T14:00:00Z,0,1,18,90,0,0,1,0,0,0,0,0,6,3,0,0.000000,44,-6,3472,41,47
18,88,147,10,8,True,2024-08-18T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,0,1,2,0,0.000000,44,248,4095,291,43
